nombre_a,hp_a,ataque_a,defensa_a,velocidad_a,nombre_b,hp_b,ataque_b,defensa_b,velocidad_b,gano_a,turnos,dano_a,dano_b
Saint Pierre and Miquelon,1,1,1,1,Question,80,27,199,68,0,1,0,24
Aerodactyl,75,198,88,217,One Punch Man,220,255,120,211,0,1,70,176
Turkey,16,13,2,1,Jolt,73,22,99,68,0,1,0,17
Doctor Doom,232,75,210,50,Sauron,232,215,173,83,0,47,46,234
Stardust,255,215,213,255,Machine Man,194,75,157,88,1,4,238,3
Predator,197,70,226,63,Morlun,97,149,136,88,1,97,97,97
Black Panther,138,33,252,75,Black Widow,69,25,252,83,1,69,69,69
Master Chief,185,184,252,88,Morlun,97,149,136,88,1,2,97,1
Sandman,208,189,147,116,U.S. Minor Outlying Islands,1,1,1,113,1,1,175,0
Russia,28,255,1,1,Scarlet Witch,162,17,199,73,0,2,61,34
Kazakhstan,4,41,1,1,Cyborg,197,131,157,106,0,1,0,145
Space Ghost,92,38,199,83,Shadow King,232,22,186,68,0,92,92,92
Doctor Fate,185,33,120,63,Rick Flag,64,20,239,57,1,64,64,63
Iran,16,25,2,1,Kazakhstan,4,41,1,1,1,1,24,0
Mister Zsasz,64,49,213,83,Violet Parr,115,14,27,32,1,6,132,5
Sylar,64,17,136,29,Evil Deadpool,232,75,252,127,0,64,63,64
Walrus,115,64,41,19,King Kong,173,255,186,181,0,1,0,218
Nebula,115,128,147,32,Monaco,1,1,255,58,1,1,1,1
Scorpia,64,64,62,106,Walrus,115,64,41,19,1,6,134,10
Kool-Aid Man,22,38,25,19,Goldeen,38,123,81,91,0,1,0,98
Red Robin,73,20,199,68,Thing,232,213,199,52,0,6,6,84
Walrus,115,64,41,19,The Comedian,22,27,199,42,1,22,22,22
Blizzard II,97,17,136,68,Brainiac,208,242,186,160,0,1,0,100
New Zealand,2,5,1,1,Callisto,97,131,213,57,0,1,0,133
Drax the Destroyer,197,202,160,63,Kosovo,1,1,3,1,1,1,209,0
Snowbird,97,75,125,68,The Cape,73,17,157,57,1,73,73,72
Hela,232,255,107,116,Elle Bishop,97,12,99,29,1,1,170,0
Hyperion,220,255,199,255,Captain Cold,45,17,41,42,1,1,237,0
Cyclops,97,17,199,57,Kick-Ass,80,17,136,57,1,80,80,79
Captain America,127,41,252,96,Goldeen,38,123,81,91,1,38,38,37
Quill,31,17,25,29,Gladiator,232,255,173,255,0,1,0,202
Spyke,138,22,67,42,Sif,185,229,173,170,0,1,0,151
Static,115,12,94,106,Medusa,162,80,136,88,0,115,115,115
Serbia,2,2,2,1,Chad,3,20,1,1,0,1,1,21
General Zod,232,255,239,245,Pakistan,36,13,4,1,1,1,242,0
Swarm,208,38,80,127,Flash III,138,17,72,255,1,138,138,138
Domino,64,17,184,68,Misfit,185,75,99,57,0,64,64,64
Firebird,31,12,99,101,Electro,129,17,157,127,0,31,30,31
Qatar,1,1,2,1,Elongated Man,208,17,94,83,0,1,0,17
Honduras,3,3,2,1,Ymir,232,255,62,68,0,1,0,233
Gyarados,91,237,108,125,Hawkgirl,229,64,178,134,1,4,237,4
Ymir,232,255,62,68,Robin VI,45,12,173,63,1,1,86,0
Mystique,148,22,184,57,Uganda,7,5,3,1,1,1,21,0
Jessica Jones,162,107,133,127,Shatterstar,148,117,210,114,1,148,148,147
Gamora,197,215,252,106,Falcon,64,25,157,127,1,2,109,2
Copycat,57,17,147,52,Superboy-Prime,232,255,213,255,0,1,0,113
Heat Wave,104,17,67,42,Box IV,64,189,136,57,0,1,0,119
Etrigan,232,215,120,42,Bloodhawk,185,17,157,127,1,4,236,4
Hulk,232,255,213,160,Silk,162,117,160,181,1,2,193,2
Malawi,4,3,3,1,Blink,64,12,157,50,0,1,0,9
Exeggutor,91,178,117,76,Lesotho,1,1,2,1,1,1,151,0
Cloak,148,17,136,119,Leech,31,4,25,29,1,31,31,30
Husk,180,157,157,88,Evilhawk,162,75,157,83,1,162,162,161
Yellowjacket,64,17,25,29,Green Goblin II,115,136,57,93,0,1,0,107
Professor Zoom,45,17,41,255,Somalia,3,10,1,1,1,1,17,0
Nightcrawler,31,17,199,119,Libya,2,27,1,1,1,1,18,0
Mister Zsasz,64,49,213,83,Romania,5,5,2,1,1,1,49,0
Machine Man,194,75,157,88,Savage Dragon,197,176,178,137,0,11,10,211
Kangaskhan,102,178,110,142,Swamp Thing,232,242,133,63,0,1,51,136
Vanuatu,1,1,1,1,Bumblebee,22,64,80,63,0,1,0,65
Steel,208,207,157,134,Stargirl,208,202,133,63,1,3,227,91
Cable,129,117,199,57,Moses Magnum,97,64,136,29,1,97,97,96
Bling!,208,27,62,29,Demogoblin,80,117,147,106,0,5,4,264
Question,80,27,199,68,Uruguay,2,4,1,1,1,1,24,0
Jar Jar Binks,22,6,27,83,Malaysia,6,6,2,1,1,2,8,1
Tanzania,9,15,2,1,Malta,1,1,20,1,1,1,1,1
Doctor Strange,194,17,147,29,Red Hulk,197,255,186,119,0,2,1,225
Macedonia,1,1,2,1,Kevin 11,31,9,94,29,0,1,0,8
Stardust,255,215,213,255,Northern Mariana Islands,1,1,3,1,1,1,222,0
Rocket Raccoon,64,4,157,57,Spider-Woman III,97,117,62,68,0,64,63,64
Wolfsbane,97,33,99,88,Multiple Man,162,20,152,57,0,97,97,97
Godzilla,232,255,41,137,Molten Man,194,184,136,57,1,2,218,125
Uruguay,2,4,1,1,Israel,2,1,6,1,0,2,1,2
Tajikistan,2,3,2,1,Saint Helena,1,1,1,1,1,1,2,1
New Zealand,2,5,1,1,Harry Potter,22,9,120,52,0,1,0,9
Turks and Caicos Islands,1,1,2,1,Lex Luthor,150,131,173,63,0,1,0,143
Swaziland,1,1,2,1,Kabutops,54,218,146,123,0,1,0,238
Martian Manhunter,232,242,213,234,Cannonball,229,64,136,170,1,3,313,2
El Salvador,2,1,5,1,Songbird,97,86,136,68,0,1,0,74
Gorilla Grodd,162,131,160,83,Doctor Fate,185,33,120,63,1,18,192,17
Nova,232,215,199,191,Ireland,2,2,2,1,1,1,188,0
Rocket Raccoon,64,4,157,57,Bushido,22,17,173,19,1,22,22,21
Iron Monger,208,157,136,63,Falcon,64,25,157,127,1,64,64,64
Power Girl,232,255,186,255,Ms Marvel II,194,157,136,57,1,2,214,1
Lightning Lad,64,17,99,57,Gyarados,91,237,108,125,0,1,0,126
Hal Jordan,185,229,173,191,Niki Sanders,64,128,136,88,1,1,99,0
Jessica Cruz,115,229,133,116,Rorschach,45,17,199,73,1,2,61,1
Blink,64,12,157,50,Guadeloupe,1,1,5,1,1,1,7,0
Rambo,69,27,252,63,Giganta,197,226,99,57,0,69,69,69
Namibia,1,13,1,1,Nova,232,215,199,191,0,1,0,235
Kid Flash,97,1,67,234,Rhyhorn,75,159,132,20,0,2,2,168
Claire Bennet,232,14,62,29,Black Panther,138,33,252,75,1,138,138,138
Goldeen,38,123,81,91,Iron Fist,115,136,252,83,0,1,1,60
Uruguay,2,4,1,1,Flash IV,73,17,115,255,0,1,0,16
Jordan,2,2,2,1,Ray,232,17,41,234,0,1,0,15
Elle Bishop,97,12,99,29,Iron Fist,115,136,252,83,0,3,2,118
One Punch Man,220,255,120,211,Falcon,64,25,157,127,1,1,103,0
Romania,5,5,2,1,Leader,31,17,99,29,0,1,0,13
Kiribati,1,1,3,1,Dormammu,232,242,199,211,0,1,0,271
Jordan,2,2,2,1,Flareon,59,247,81,95,0,1,0,247
Japan,25,7,6,1,General Zod,232,255,239,245,0,1,0,219
Space Ghost,92,38,199,83,Rey,22,12,80,52,1,22,22,21
Isis,106,117,136,191,Lithuania,2,2,2,1,1,1,99,0
British Virgin Islands,1,1,3,2,Namor,162,242,213,147,0,1,0,267
Ms Marvel II,194,157,136,57,Emma Frost,208,157,99,88,1,4,246,83
French Polynesia,1,1,2,1,Venezuela,6,15,1,1,0,1,0,11
Flash,115,17,72,255,Kenya,9,10,2,1,1,1,13,0
Jolteon,59,119,81,217,Robin,64,20,213,68,0,59,59,59
Deadman,232,17,99,83,Tajikistan,2,3,2,1,1,1,13,0
Kid Flash,97,1,67,234,Husk,180,157,157,88,0,1,1,102
Monaco,1,1,255,58,Box IV,64,189,136,57,0,1,1,1
Elastigirl,220,75,173,83,Spawn,208,149,239,127,1,200,200,200
Match,197,242,173,211,Hellboy,220,131,186,52,1,4,227,3
Madagascar,5,10,2,1,Starfire,197,202,173,83,0,1,0,223
Hellcat,104,20,173,83,Cayman Islands,1,1,4,1,1,1,15,0
Red Robin,73,20,199,68,JJ Powell,22,17,14,19,1,4,24,3
Shadowcat,57,12,173,52,Malta,1,1,20,1,1,1,1,0
Cyborg,197,131,157,106,Justice,162,17,67,83,1,3,218,2
Ethan Hunt,69,20,239,73,Cyclops,97,17,199,57,0,69,69,69
James Bond,80,25,226,42,Mali,4,19,1,1,1,1,25,0
Dragonair,55,157,88,104,Guadeloupe,1,1,5,1,1,1,166,0
Rhydon,102,247,168,48,Guy Gardner,148,229,157,134,0,2,96,132
Doctor Fate,185,33,120,63,Zapdos,86,168,117,161,0,5,4,227
Turkmenistan,2,8,1,1,Spider-Woman III,97,117,62,68,0,1,0,120
Liberia,2,3,1,1,Mr. Mime,33,80,88,142,0,1,0,70
Doppelganger,220,157,210,152,Ms Marvel II,194,157,136,57,1,10,205,9
Comoros,1,1,6,1,Mister Freeze,162,75,62,29,0,1,0,66
Jessica Cruz,115,229,133,116,Liechtenstein,1,1,4,2,1,1,255,0
Exodus,64,205,173,70,Metallo,220,131,157,57,1,5,245,4
Kingpin,92,38,173,63,Articuno,86,159,139,133,1,86,86,86
Equatorial Guinea,1,1,2,1,Black Bolt,194,168,136,255,0,1,0,170
Pakistan,36,13,4,1,Master Chief,185,184,252,88,0,1,0,162
Slovenia,1,1,2,1,King Kong,173,255,186,181,0,1,0,222
Kingpin,92,38,173,63,Vanisher,129,17,99,191,0,92,91,92
Invisible Woman,197,17,136,68,Mephisto,220,215,99,88,0,3,2,228
One Punch Man,220,255,120,211,Stargirl,208,202,133,63,1,2,256,82
Jennifer Kale,97,17,178,88,Guinea-Bissau,1,2,2,1,1,1,16,0
Tunisia,3,3,2,1,Taskmaster,45,22,252,127,0,1,0,19
Guam,1,1,5,1,Walrus,115,64,41,19,0,1,0,61
Sandman,208,189,147,116,Mewtwo,103,208,124,217,1,2,118,114
Robin II,64,20,213,68,Kilowog,97,229,199,134,0,4,3,65
Mexico,22,30,2,1,British Indian Ocean Territory,1,1,2,3,1,1,27,1
Chuck Norris,129,202,250,119,Scarlet Witch,162,17,199,73,1,54,162,53
Blob,220,210,178,57,Magus,229,255,184,178,0,4,79,299
Chad,3,20,1,1,Plastic Man,232,157,136,57,0,1,0,148
Chansey,255,1,1,67,Venom,194,141,210,165,0,2,1,296
Vegeta,220,255,252,234,Scorpion,197,128,199,152,1,4,228,3
Bird-Brain,64,17,99,88,King Kong,173,255,186,181,0,1,0,176
Wyatt Wingfoot,1,17,136,29,Callisto,97,131,213,57,0,1,0,1
Indigo,115,157,120,127,Cable,129,117,199,57,0,115,115,115
Thing,232,213,199,52,Firestar,127,12,72,137,1,2,280,2
Moon Knight,97,86,186,57,Saudi Arabia,6,30,1,1,1,1,75,0
Mali,4,19,1,1,General Zod,232,255,239,245,0,1,0,233
Italy,13,5,4,1,Ultron,232,210,157,106,0,1,0,187
Venom,194,141,210,165,Static,115,12,94,106,1,3,131,2
Thing,232,213,199,52,Macao,1,1,28,1,1,1,161,0
Vietnam,18,6,5,1,Jynx,59,90,45,152,0,1,0,78
Box IV,64,189,136,57,Scarlet Spider,171,131,136,152,1,4,218,4
Shriek,64,17,99,57,Norfolk Island,1,1,2,4,1,1,15,0
Darkman,197,27,62,57,Nauru,1,1,8,6,1,1,19,0
Daredevil,80,25,252,63,Flash III,138,17,72,255,0,80,79,80
Miss Martian,232,215,107,147,Bling!,208,27,62,29,1,2,331,1
Lesotho,1,1,2,1,The Cape,73,17,157,57,0,1,0,17
Jamaica,2,1,5,1,Lizard,162,125,136,68,0,1,0,129
El Salvador,2,1,5,1,Iron Monger,208,157,136,63,0,1,0,163
Stargirl,208,202,133,63,Sauron,232,215,173,83,0,3,59,236
Invisible Woman,197,17,136,68,Joker,138,17,173,29,1,138,138,137
Mimic,129,168,99,119,Black Knight III,162,17,173,19,0,129,129,129
Moonstone,120,168,199,119,Chad,3,20,1,1,1,1,191,0
Lickitung,86,99,103,29,Sauron,232,215,173,83,0,1,0,106
The Cape,73,17,157,57,Thanos,232,255,199,83,0,1,0,111
Sauron,232,215,173,83,Serbia,2,2,2,1,1,1,224,0
Uruguay,2,4,1,1,Shadowcat,57,12,173,52,0,1,0,12
Red Arrow,45,33,199,63,Blackout,185,75,160,114,0,45,44,45
Puerto Rico,2,1,7,1,Captain Hindsight,69,17,41,211,0,1,0,10
Carnage,194,157,226,178,Peru,7,20,1,1,1,1,163,0
Cannonball,229,64,136,170,Mach-IV,194,86,136,152,1,194,194,193
Sierra Leone,2,2,2,1,Husk,180,157,157,88,0,1,0,166
Booster Gold,162,215,94,106,Hit-Girl,45,9,160,73,1,1,58,0
Firestorm,129,131,99,147,Sebastian Shaw,220,215,136,29,0,2,2,212
She-Thing,185,181,160,52,Man-Thing,232,75,94,19,1,3,260,2
Yellowjacket,64,17,25,29,Bizarro,232,242,213,255,0,1,0,203
Shadow Lass,45,17,199,170,Giganta,197,226,99,57,0,2,2,53
Offspring,229,17,136,88,Darkman,197,27,62,57,1,197,197,196
Tonga,1,1,3,1,Captain Marvel,220,255,186,224,0,1,0,283
Blue Beetle III,185,80,67,147,Spider-Girl,150,91,186,152,0,8,7,187
Hybrid,173,157,199,147,Zapdos,86,168,117,161,1,2,88,2
Cannonball,229,64,136,170,U.S. Virgin Islands,1,1,6,1,1,1,54,0
Blackwing,73,17,136,88,Jersey,1,1,13,2,1,1,4,0
Jordan,2,2,2,1,Gravity,92,75,67,83,0,1,0,67
Blackwulf,69,64,54,19,Judge Dredd,115,38,239,96,0,69,68,69
Italy,13,5,4,1,Guinea-Bissau,1,2,2,1,1,1,3,1
Gog,166,80,136,119,Doppelganger,220,157,210,152,0,8,7,168
Japan,25,7,6,1,The Comedian,22,27,199,42,0,2,1,43
Rhyhorn,75,159,132,20,Indigo,115,157,120,127,0,3,77,79
Black Flash,185,17,67,255,Warp,64,17,120,57,1,64,64,63
Forge,64,17,115,29,Kenya,9,10,2,1,1,1,15,0
Quill,31,17,25,29,Montserrat,1,1,2,2,1,1,17,0
Havok,138,17,107,63,Wonder Woman,232,255,252,201,0,2,1,280
Space Ghost,92,38,199,83,Deadman,232,17,99,83,0,92,91,92
Niger,4,20,1,1,John Wraith,64,22,199,88,0,1,0,22
War Machine,232,202,213,160,Mew,96,188,139,161,1,2,130,2
Guinea,3,5,2,1,Callisto,97,131,213,57,0,1,0,112
Mewtwo,103,208,124,217,Chameleon,64,17,62,29,1,1,125,0
Staryu,22,80,74,133,Watcher,206,202,136,170,0,1,0,129
Naruto Uzumaki,185,202,252,81,Etrigan,232,215,120,42,1,3,237,2
Niue,1,1,1,1,King Kong,173,255,186,181,0,1,0,281
Wasp,120,35,99,147,Scarlet Spider II,92,136,136,152,0,4,3,149
Tempest,64,17,147,114,Japan,25,7,6,1,1,3,34,2
South Sudan,3,11,1,1,Leech,31,4,25,29,0,1,0,3
Skaar,208,215,213,68,Captain Hindsight,69,17,41,211,1,1,199,1
Kid Flash,97,1,67,234,Senegal,3,4,2,1,1,3,3,2
Hela,232,255,107,116,Cambodia,4,4,2,1,1,1,284,0
Deathlok,162,75,147,75,Hope Summers,73,17,186,29,1,73,73,72
Thanos,232,255,199,83,Man-Bat,162,38,67,127,1,1,172,1
Claire Bennet,232,14,62,29,Mister Mxyzptlk,232,215,120,255,0,2,1,338
Cameron Hicks,64,17,173,57,Articuno,86,159,139,133,0,64,63,64
Q,232,22,94,42,Gorilla Grodd,162,131,160,83,0,7,6,257
Staryu,22,80,74,133,Box IV,64,189,136,57,0,1,1,123
Koffing,33,119,132,39,Ghost Rider,232,136,147,63,0,8,7,33
Ultragirl,162,202,199,88,Deathstroke,232,70,226,88,0,162,161,162
Hellboy,220,131,186,52,Living Brain,129,131,62,88,1,3,194,3
South Sudan,3,11,1,1,Superman,232,255,213,255,0,1,0,236
Japan,25,7,6,1,Parademon,115,64,54,42,0,1,0,64
Nicaragua,2,3,2,1,Thundra,148,205,131,81,0,1,0,191
Legion,69,255,186,106,Star-Lord,115,43,173,83,1,2,151,1
Croatia,2,2,2,1,X-23,232,54,239,106,0,1,0,54
Cheetah,45,12,173,106,Vibe,69,17,67,42,0,45,45,45
Comoros,1,1,6,1,Paraguay,2,7,1,1,0,1,1,1
Raphael,150,35,199,127,Galactus,232,255,120,211,0,3,2,152
Puerto Rico,2,1,7,1,Martinique,1,1,7,1,1,1,1,0
Niger,4,20,1,1,Wyatt Wingfoot,1,17,136,29,0,1,0,17
Warlock,220,86,239,201,Invisible Woman,197,17,136,68,1,197,197,196
Katniss Everdeen,57,12,133,52,Exodus,64,205,173,70,0,1,0,61
Scarlet Spider,171,131,136,152,Fin Fang Foom,232,205,173,57,0,3,3,216
Maxima,129,229,186,88,Croatia,2,2,2,1,1,1,215,0
T-X,197,157,199,73,Liberia,2,3,1,1,1,1,147,0
Taiwan,5,2,11,1,Cambodia,4,4,2,1,1,4,4,4
Scarlet Witch,162,17,199,73,Silver Surfer,208,255,72,255,0,3,2,182
Hyperion,220,255,199,255,Lady Deathstrike,197,64,226,106,1,7,197,6
Darkhawk,162,75,157,83,Spider-Gwen,162,136,173,160,0,162,161,162
Killer Frost,80,17,67,32,Boba Fett,83,17,173,96,0,80,79,80
Spider-Girl,150,91,186,152,Hela,232,255,107,116,0,3,3,219
Omanyte,27,70,139,39,Martinique,1,1,7,1,1,1,55,0
Gamora,197,215,252,106,Changeling,97,17,157,57,1,2,109,1
Kenya,9,10,2,1,Swaziland,1,1,2,1,1,1,7,1
U.S. Minor Outlying Islands,1,1,1,113,The Comedian,22,27,199,42,0,1,1,24
Blade,115,64,226,96,Blizzard II,97,17,136,68,1,97,97,96
Robin V,36,12,160,83,Seaking,75,172,88,101,0,3,2,38
Cambodia,4,4,2,1,Jolt,73,22,99,68,0,1,0,20
Thanos,232,255,199,83,Mr. Mime,33,80,88,142,1,1,159,1
Destroyer,227,242,173,147,Saint Lucia,1,1,5,1,1,1,248,0
James Bond,80,25,226,42,Moses Magnum,97,64,136,29,0,80,80,80
Skaar,208,215,213,68,Yoda,57,128,226,83,1,57,57,57
Vanuatu,1,1,1,1,Hawkgirl,229,64,178,134,0,1,0,62
Namor,162,242,213,147,Uruguay,2,4,1,1,1,1,234,0
Bumblebee,22,64,80,63,Diamondback,64,33,147,57,0,22,22,22
Lobo,232,255,213,137,T-1000,232,80,186,83,1,4,297,3
Qatar,1,1,2,1,Firestar,127,12,72,137,0,1,0,9
Hal Jordan,185,229,173,191,Ghost Rider,232,136,147,63,1,3,259,2
Hercules,197,255,252,116,Jim Powell,185,91,41,57,1,2,378,1
Iron Fist,115,136,252,83,Bullseye,162,20,173,63,0,115,115,115
Flash III,138,17,72,255,Captain Cold,45,17,41,42,1,45,45,44
Iceman,232,75,157,134,Guinea,3,5,2,1,1,1,69,0
Jack of Hearts,69,136,67,255,Russia,28,255,1,1,1,1,137,0
Saint Pierre and Miquelon,1,1,1,1,T-800,138,80,160,42,0,1,0,82
Shriek,64,17,99,57,Trinidad and Tobago,1,1,5,1,1,1,11,0
Luke Cage,220,157,173,73,Indigo,115,157,120,127,1,4,151,4
Hitmonlee,43,227,71,136,Iron Fist,115,136,252,83,0,1,1,61
Ultragirl,162,202,199,88,She-Hulk,232,255,173,106,0,3,61,181
Thanos,232,255,199,83,Mera,138,154,199,201,1,3,160,3
Machine Man,194,75,157,88,Gorilla Grodd,162,131,160,83,1,162,162,161
Mandarin,64,64,239,57,Forge,64,17,115,29,1,64,64,63
Mali,4,19,1,1,French Southern Territories,1,1,1,1,1,1,17,1
Taiwan,5,2,11,1,Equatorial Guinea,1,1,2,1,1,1,1,0
Luxembourg,1,1,4,1,Spawn,208,149,239,127,0,1,0,148
Scarecrow,31,17,120,29,Horsea,22,70,95,86,1,22,22,22
Darkstar,97,12,157,88,Drax the Destroyer,197,202,160,63,0,3,3,135
Falcon,64,25,157,127,Vatican City,1,1,32,255,1,1,1,1
Winter Soldier,150,75,210,88,Nepal,7,3,4,1,1,1,61,0
Poland,8,6,3,1,King Kong,173,255,186,181,0,1,0,238
Malta,1,1,20,1,Moldova,2,2,3,1,0,1,0,1
Russia,28,255,1,1,Guam,1,1,5,1,1,1,274,1
Madagascar,5,10,2,1,Isle of Man,1,1,3,1,1,1,6,0
Goldeen,38,123,81,91,Gladiator,232,255,173,255,0,1,0,196
Jennifer Kale,97,17,178,88,Blackwing,73,17,136,88,1,73,73,72
Vibe,69,17,67,42,Bling!,208,27,62,29,0,69,69,69
Omanyte,27,70,139,39,Sebastian Shaw,220,215,136,29,0,1,1,79
Tunisia,3,3,2,1,Husk,180,157,157,88,0,1,0,176
Watcher,206,202,136,170,Skaar,208,215,213,68,0,3,3,226
Blizzard II,97,17,136,68,Blackout,185,75,160,114,0,97,96,97
Misfit,185,75,99,57,Vanisher,129,17,99,191,1,129,129,129
Bumblebee,22,64,80,63,Saint Kitts and Nevis,1,1,4,1,1,1,54,0
Rey,22,12,80,52,Sint Maarten,1,1,28,6,1,1,1,0
Cheetah III,185,255,239,224,Data,92,75,120,52,1,1,123,0
Lickitung,86,99,103,29,Rachel Pirzad,22,1,14,19,1,1,73,0
Jean Grey,45,202,173,52,Romania,5,5,2,1,1,1,172,0
Nightwing,64,20,252,83,Latvia,1,2,2,1,1,1,18,0
Claire Bennet,232,14,62,29,Superman,232,255,213,255,0,2,1,351
Maverick,97,17,213,29,Diamondback,64,33,147,57,1,64,64,64
Blackwing,73,17,136,88,Taiwan,5,2,11,1,1,1,6,0
Red Arrow,45,33,199,63,Namibia,1,13,1,1,1,1,37,0
Tiger Shark,162,181,62,116,Lobo,232,255,213,137,0,1,0,201
Doctor Strange,194,17,147,29,Vietnam,18,6,5,1,1,2,28,1
Franklin Storm,1,17,14,1,Ms Marvel II,194,157,136,57,0,1,0,164
Copycat,57,17,147,52,Vatican City,1,1,32,255,1,1,1,1
Sinestro,148,215,133,134,South Africa,10,19,2,1,1,1,184,0
Bushido,22,17,173,19,Kenya,9,10,2,1,1,1,13,0
Gog,166,80,136,119,Cheetah II,45,43,147,106,1,45,45,44
X-Man,220,131,210,134,Mr Incredible,220,210,94,83,1,6,229,5
Omastar,64,109,175,76,T-1000,232,80,186,83,0,64,63,64
Jack-Jack,185,80,4,170,Tunisia,3,3,2,1,1,1,71,0
Man-Wolf,97,107,173,88,Palestine,2,1,11,1,1,1,91,0
War Machine,232,202,213,160,Uganda,7,5,3,1,1,1,217,0
Fin Fang Foom,232,205,173,57,Stormtrooper,34,12,41,19,1,1,162,0
Emma Frost,208,157,99,88,Silverclaw,97,64,99,88,1,2,107,1
Mockingbird,45,72,239,96,Blue Beetle III,185,80,67,147,1,38,187,38
Jennifer Kale,97,17,178,88,Rogue,64,17,199,29,1,64,64,63
Skaar,208,215,213,68,Captain Marvel,220,255,186,224,0,6,148,249
Blue Beetle III,185,80,67,147,Thunderbird,73,75,173,68,0,24,24,190
Isle of Man,1,1,3,1,Mephisto,220,215,99,88,0,1,0,233
Scyther,64,208,110,170,Fin Fang Foom,232,205,173,57,0,1,32,93
Red Arrow,45,33,199,63,Scorpia,64,64,62,106,0,45,44,45
Man-Thing,232,75,94,19,French Southern Territories,1,1,1,1,1,1,76,0
Indonesia,47,30,3,1,Hawkeye,22,22,199,52,0,3,2,55
She-Thing,185,181,160,52,Spider-Woman III,97,117,62,68,1,1,103,1
Greedo,34,17,94,32,Naruto Uzumaki,185,202,252,81,0,1,0,105
Suriname,1,3,1,1,Blackout,185,75,160,114,0,1,0,78
Lizard,162,125,136,68,Rwanda,3,1,7,1,1,1,110,0
Rhydon,102,247,168,48,Rocket Raccoon,64,4,157,57,1,1,92,1
Deadman,232,17,99,83,Maldives,1,1,21,1,1,1,1,0
Paraguay,2,7,1,1,Tonga,1,1,3,1,1,1,5,0
Sif,185,229,173,170,South Korea,10,2,8,1,1,1,194,0
Kazakhstan,4,41,1,1,Kyrgyzstan,2,4,1,1,1,1,45,0
Oracle,64,20,189,57,Hellcat,104,20,173,83,0,64,63,64
Portugal,3,2,3,1,Jynx,59,90,45,152,0,1,0,99
Matt Parkman,31,17,136,29,Black Knight III,162,17,173,19,0,31,31,31
Gary Bell,22,4,14,19,Spyke,138,22,67,42,0,3,2,24
Purple Man,69,17,14,19,Namora,97,215,157,106,0,1,0,225
Zoom,64,17,62,255,Professor X,31,12,72,29,1,31,31,30
Mystique,148,22,184,57,Thor Girl,194,210,173,178,0,6,5,155
Vulture,57,49,67,106,Saint Lucia,1,1,5,1,1,1,40,0
Venezuela,6,15,1,1,Luke Cage,220,157,173,73,0,1,0,176
Rhyhorn,75,159,132,20,Gambit,64,17,210,57,1,64,64,64
Blue Beetle III,185,80,67,147,Rip Hunter,22,12,54,19,1,1,24,0
Groot,162,215,157,83,Cheetah III,185,255,239,224,0,2,1,212
Zambia,4,12,1,1,Luxembourg,1,1,4,1,1,1,9,0
Vixen,115,91,54,127,Polaris,115,184,107,106,0,1,1,130
Blue Beetle III,185,80,67,147,James Bond,80,25,226,42,1,80,80,79
Mr Incredible,220,210,94,83,Magog,148,117,178,57,1,5,158,95
James Bond,80,25,226,42,Guyana,1,4,1,1,1,1,26,0
Venom III,208,184,136,88,Multiple Man,162,20,152,57,1,5,170,4
Lightning Lad,64,17,99,57,Black Lightning,64,20,186,134,0,64,63,64
Claire Bennet,232,14,62,29,Jennifer Kale,97,17,178,88,1,97,97,97
Horsea,22,70,95,86,Wasp,120,35,99,147,0,22,21,22
Articuno,86,159,139,133,Synch,64,168,136,57,1,4,88,82
Black Lightning,64,20,186,134,Red Hulk,197,255,186,119,0,1,1,74
John Stewart,148,215,160,106,Mister Knife,69,17,160,42,1,2,113,1
Vindicator,148,157,173,134,John Stewart,148,215,160,106,0,4,4,160
Thundra,148,205,131,81,Hawk,220,91,99,88,1,3,340,3
Gambia,1,1,3,1,Lickitung,86,99,103,29,0,1,0,87
Mera,138,154,199,201,Hitmonlee,43,227,71,136,1,1,91,0
Silver Surfer,208,255,72,255,Black Cat,22,33,173,83,1,1,81,0
Qatar,1,1,2,1,MODOK,57,38,27,63,0,1,0,36
British Indian Ocean Territory,1,1,2,3,Plastique,64,17,99,57,0,1,0,16
Katniss Everdeen,57,12,133,52,Leech,31,4,25,29,1,31,31,30
Tangela,59,99,161,86,Martian Manhunter,232,242,213,234,0,1,0,87
Elle Bishop,97,12,99,29,Black Panther,138,33,252,75,0,97,96,97
Latvia,1,2,2,1,Maxima,129,229,186,88,0,1,0,257
Hydro-Man,185,25,120,63,War Machine,232,202,213,160,0,3,2,252
Martian Manhunter,232,242,213,234,Netherlands,4,2,7,1,1,1,250,0
Dagger,97,17,173,88,Clock King,22,17,94,42,1,22,22,21
Venom II,162,141,136,119,Hawkgirl,229,64,178,134,0,162,161,162
Gary Bell,22,4,14,19,Mozambique,5,13,1,1,1,2,6,1
John Stewart,148,215,160,106,Iron Monger,208,157,136,63,1,3,236,2
South Sudan,3,11,1,1,Mr Incredible,220,210,94,83,0,1,0,186
Swarm,208,38,80,127,Jessica Cruz,115,229,133,116,0,2,2,314
Osiris,220,215,99,152,Ghost Rider,232,136,147,63,1,4,281,112
Iron Fist,115,136,252,83,Ditto,41,86,63,63,1,1,65,0
Iron Monger,208,157,136,63,Invisible Woman,197,17,136,68,1,10,217,10
Swaziland,1,1,2,1,Goldeen,38,123,81,91,0,1,0,109
